"","GENE","FREQUENCY"
"165","CD48",0.9
"166","CD69",0.9
"167","CD79A",0.9
"168","CLEC2B",0.9
"169","CRELD2",0.9
"170","CTA-293F17.1",0.9
"171","CTSC",0.9
"172","DNAJB9",0.9
"173","DTX3L",0.9
"174","DUSP10",0.9
"175","ENO1",0.9
"176","EPSTI1",0.9
"177","ETV7",0.9
"178","FAM43A",0.9
"179","FCRL5",0.9
"180","FRMD4A",0.9
"181","FTL",0.9
"182","GPR155",0.9
"183","HHEX",0.9
"184","HLA-DRB1",0.9
"185","HMGB2",0.9
"186","HMGN2",0.9
"187","IFI6",0.9
"188","IFNGR1",0.9
"189","IGHG1",0.9
"190","IGHG3",0.9
"191","IGHG4",0.9
"192","KLF3",0.9
"193","LAMP3",0.9
"194","LBH",0.9
"195","LPAR6",0.9
"196","LYL1",0.9
"197","MID1IP1",0.9
"198","MYLIP",0.9
"199","NAAA",0.9
"200","NAALADL2-AS2",0.9
"201","NCALD",0.9
"202","NFKBID",0.9
"203","PARP9",0.9
"204","PDCD4",0.9
"205","PIM2",0.9
"206","PKIG",0.9
"207","PLA2G16",0.9
"208","PLD4",0.9
"209","PLEK",0.9
"210","PLIN2",0.9
"211","PRDM1",0.9
"212","RAB31",0.9
"213","RCBTB2",0.9
"214","RP11-693J15.5",0.9
"215","SH3TC1",0.9
"216","SLAMF1",0.9
"217","SMIM14",0.9
"218","SOX4",0.9
"219","STAG3",0.9
"220","STAP1",0.9
"221","STMN1",0.9
"222","SYNE2",0.9
"223","SYTL1",0.9
"224","TEX9",0.9
"225","TGIF1",0.9
"226","TIMP1",0.9
"227","TMEM154",0.9
"228","TNFSF13B",0.9
"229","TTC39C",0.9
"230","TUBA1B",0.9
"231","USP18",0.9
"232","XBP1",0.9
"233","ZDHHC14",0.9
"234","ACY3",0.8
"235","AL928768.3",0.8
"236","ANTXR2",0.8
"237","ANXA1",0.8
"238","ANXA4",0.8
"239","ARID5B",0.8
"240","ASB2",0.8
"241","ASNS",0.8
"242","BCL2A1",0.8
"243","BEX2",0.8
"244","BTLA",0.8
"245","C12orf75",0.8
"246","C1orf186",0.8
"247","CAPN2",0.8
"248","CARS2",0.8
"249","CASP1",0.8
"250","CAV1",0.8
"251","CCDC74A",0.8
"252","CCPG1",0.8
"253","CD68",0.8
"254","CEBPB",0.8
"255","CHST2",0.8
"256","EMB",0.8
"257","FABP5",0.8
"258","FAS",0.8
"259","FGR",0.8
"260","FUCA1",0.8
"261","GPR137B",0.8
"262","H2AFZ",0.8
"263","HIST1H2BJ",0.8
"264","HIST3H2A",0.8
"265","HLA-DOB",0.8
"266","HLA-DPB1",0.8
"267","HNRNPH1",0.8
"268","HSP90B1",0.8
"269","IFIT2",0.8
"270","IGKV4-1",0.8
"271","IGLC3",0.8
"272","IL16",0.8
"273","IL4I1",0.8
"274","JCHAIN",0.8
"275","KLHL24",0.8
"276","LDLRAD4",0.8
"277","LIPH",0.8
"278","LMNA",0.8
"279","LYPLAL1",0.8
"280","MANF",0.8
"281","MIER2",0.8
"282","MSMO1",0.8
"283","MYBL2",0.8
"284","NCF2",0.8
"285","NEAT1",0.8
"286","PABPC4",0.8
"287","PIM1",0.8
"288","PTTG1",0.8
"289","QPRT",0.8
"290","RGS1",0.8
"291","RLF",0.8
"292","SERPINB1",0.8
"293","SERPINB9",0.8
"294","SKIL",0.8
"295","SLC16A3",0.8
"296","SLC3A2",0.8
"297","SPARC",0.8
"298","SRM",0.8
"299","STK17B",0.8
"300","TAGAP",0.8
"301","TBX21",0.8
"302","TMEM140",0.8
"303","TNFAIP3",0.8
"304","TRAF1",0.8
"305","TRIB3",0.8
"306","TUBA1A",0.8
"307","AC006129.2",0.7
"308","ACP5",0.7
"309","ADA",0.7
"310","AES",0.7
"311","ALDH2",0.7
"312","ANXA2R",0.7
"313","BBC3",0.7
"314","CCDC28B",0.7
"315","CCL25",0.7
"316","CD200",0.7
"317","CD82",0.7
"318","CD83",0.7
"319","CDKN2D",0.7
"320","CDKN3",0.7
"321","CENPF",0.7
"322","CENPW",0.7
"323","CFP",0.7
"324","CHPT1",0.7
"325","CMPK2",0.7
"326","CPNE5",0.7
"327","CST3",0.7
"328","CTD-3184A7.4",0.7
"329","DUSP5",0.7
"330","ENO2",0.7
"331","FCER2",0.7
"332","FLJ20021",0.7
"333","GBP2",0.7
"334","HLA-DOA",0.7
"335","IFITM2",0.7
"336","IGF1",0.7
"337","IL4R",0.7
"338","INPP5F",0.7
"339","INSR",0.7
"340","ITGA4",0.7
"341","KANSL1-AS1",0.7
"342","KCNK1",0.7
"343","KCNQ1OT1",0.7
"344","KLF2",0.7
"345","KLK1",0.7
"346","LPIN1",0.7
"347","MKI67",0.7
"348","MSL3",0.7
"349","MYO6",0.7
"350","NINJ1",0.7
"351","NOP16",0.7
"352","NT5E",0.7
"353","NUSAP1",0.7
"354","P3H2",0.7
"355","PGK1",0.7
"356","PPP3CA",0.7
"357","PTP4A3",0.7
"358","RAB13",0.7
"359","RALGPS2",0.7
"360","RORA",0.7
"361","RP11-35G9.3",0.7
"362","RP11-455F5.5",0.7
"363","RP3-395M20.12",0.7
"364","RRM2",0.7
"365","SAMD10",0.7
"366","SDC1",0.7
"367","SMIM3",0.7
"368","SQLE",0.7
"369","STAC3",0.7
"370","TBXAS1",0.7
"371","TK1",0.7
"372","TPI1",0.7
"373","TSPYL2",0.7
"374","TUBB4B",0.7
"375","WNT10A",0.7
"376","A4GALT",0.6
"377","ABCB10",0.6
"378","ABI3",0.6
"379","ADD3",0.6
"380","ADGRE1",0.6
"381","ARL6IP5",0.6
"382","ATM",0.6
"383","BCAT1",0.6
"384","BCL2L1",0.6
"385","BEX5",0.6
"386","BFSP2",0.6
"387","BLK",0.6
"388","BLM",0.6
"389","BRD3",0.6
"390","C10orf54",0.6
"391","C3orf58",0.6
"392","CALR",0.6
"393","CAMP",0.6
"394","CAPN10-AS1",0.6
"395","CBX6",0.6
"396","CCL3L3",0.6
"397","CCND2",0.6
"398","CCR1",0.6
"399","CCR10",0.6
"400","CCR6",0.6
"401","CD226",0.6
"402","CD24",0.6
"403","CD27",0.6
"404","CD37",0.6
"405","CD40",0.6
"406","CD44",0.6
"407","CD53",0.6
"408","CD58",0.6
"409","CD70",0.6
"410","CD79B",0.6
"411","CD80",0.6
"412","CD99",0.6
"413","CDKN1B",0.6
"414","CENPM",0.6
"415","CFLAR",0.6
"416","CLEC2D",0.6
"417","CLECL1",0.6
"418","CLNK",0.6
"419","CMTM7",0.6
"420","CTTN",0.6
"421","CXorf21",0.6
"422","CYP1B1",0.6
"423","DAAM1",0.6
"424","DEK",0.6
"425","DFNA5",0.6
"426","DNAJB11",0.6
"427","DNASE1L3",0.6
"428","DUSP11",0.6
"429","DUSP4",0.6
"430","DYNLL2",0.6
"431","EAF2",0.6
"432","EGR2",0.6
"433","EIF4EBP1",0.6
"434","EMP3",0.6
"435","ENC1",0.6
"436","ERN1",0.6
"437","EVI2B",0.6
"438","EVL",0.6
"439","FAIM",0.6
"440","FAM101B",0.6
"441","FAM102A",0.6
"442","FAM45A",0.6
"443","FAM65B",0.6
"444","FASN",0.6
"445","FBXO32",0.6
"446","FCGR2A",0.6
"447","FCMR",0.6
"448","FEZ1",0.6
"449","FKBP11",0.6
"450","FTH1",0.6
"451","FYB",0.6
"452","FZD3",0.6
"453","GABPB1-AS1",0.6
"454","GADD45A",0.6
"455","GBP1",0.6
"456","GCHFR",0.6
"457","GLUL",0.6
"458","GMNN",0.6
"459","GNG7",0.6
"460","GPR160",0.6
"461","GPR82",0.6
"462","GRAP2",0.6
"463","HCK",0.6
"464","HCST",0.6
"465","HLA-DMA",0.6
"466","HMGB1",0.6
"467","HMX2",0.6
"468","HVCN1",0.6
"469","ICAM1",0.6
"470","IDI1",0.6
"471","IER3",0.6
"472","IFI30",0.6
"473","IFITM1",0.6
"474","IFNG-AS1",0.6
"475","IGF2BP3",0.6
"476","IGHA1",0.6
"477","IL10",0.6
"478","IL32",0.6
"479","ING1",0.6
"480","IPCEF1",0.6
"481","ITM2B",0.6
"482","ITM2C",0.6
"483","IZUMO4",0.6
"484","KB-1980E6.3",0.6
"485","KDM6B",0.6
"486","LARP6",0.6
"487","LCK",0.6
"488","LGALS3",0.6
"489","LINC00158",0.6
"490","LINC00926",0.6
"491","LTA",0.6
"492","LY86",0.6
"493","MACF1",0.6
"494","MAL",0.6
"495","MAP3K8",0.6
"496","MGLL",0.6
"497","MIR3142HG",0.6
"498","MIR3681HG",0.6
"499","MS4A7",0.6
"500","MT1E",0.6
"501","MZB1",0.6
"502","NAB2",0.6
"503","NFKBIE",0.6
"504","NQO1",0.6
"505","NUCB2",0.6
"506","OASL",0.6
"507","ORC6",0.6
"508","P2RY11",0.6
"509","PASK",0.6
"510","PCID2",0.6
"511","PDIA4",0.6
"512","PEA15",0.6
"513","PFN2",0.6
"514","PIK3AP1",0.6
"515","PIM3",0.6
"516","PLK3",0.6
"517","PLSCR1",0.6
"518","PSIP1",0.6
"519","PTMS",0.6
"520","PTPRC",0.6
"521","PYCARD-AS1",0.6
"522","RAB9A",0.6
"523","RHOBTB3",0.6
"524","RP11-511P7.5",0.6
"525","RP11-81H14.2",0.6
"526","S100A10",0.6
"527","SDSL",0.6
"528","SEPT10",0.6
"529","SERPINI1",0.6
"530","SGK1",0.6
"531","SNX22",0.6
"532","SORL1",0.6
"533","SRGN",0.6
"534","SSR3",0.6
"535","STK17A",0.6
"536","TAGLN2",0.6
"537","TESC",0.6
"538","TMEM120A",0.6
"539","TMOD1",0.6
"540","TMPRSS3",0.6
"541","TMX4",0.6
"542","TNF",0.6
"543","TNFAIP2",0.6
"544","TNFRSF13C",0.6
"545","TNFRSF1B",0.6
"546","TNFSF14",0.6
"547","TPBG",0.6
"548","TPRG1",0.6
"549","TSPO",0.6
"550","TUBB2A",0.6
"551","TYMP",0.6
"552","TYW3",0.6
"553","UBE2S",0.6
"554","UCHL1",0.6
"555","UCP2",0.6
"556","VIMP",0.6
"557","VPREB3",0.6
"558","WDR91",0.6
"559","YPEL1",0.6
"560","YPEL3",0.6
"561","ZBTB32",0.6
"562","ABCA6",0.5
"563","ABCB9",0.5
"564","AC016831.7",0.5
"565","ADAP2",0.5
"566","AHNAK",0.5
"567","AK4",0.5
"568","ALOX5",0.5
"569","ALPK1",0.5
"570","ANXA2",0.5
"571","AP4S1",0.5
"572","AQP3",0.5
"573","ARHGAP18",0.5
"574","ARHGAP24",0.5
"575","ARHGAP25",0.5
"576","ARHGEF3",0.5
"577","ATF3",0.5
"578","BATF3",0.5
"579","BCL2L11",0.5
"580","BEX4",0.5
"581","BID",0.5
"582","BNIP3L",0.5
"583","BTG1",0.5
"584","BTN2A2",0.5
"585","C1orf56",0.5
"586","CARKD",0.5
"587","CCDC88A",0.5
"588","CD300A",0.5
"589","CD38",0.5
"590","CD55",0.5
"591","CD63",0.5
"592","CD72",0.5
"593","CDK5RAP2",0.5
"594","CEPT1",0.5
"595","CLIC2",0.5
"596","CREM",0.5
"597","CSRNP1",0.5
"598","CSTF2",0.5
"599","CTD-3131K8.2",0.5
"600","CYP3A5",0.5
"601","DCK",0.5
"602","DDHD2",0.5
"603","DENND3",0.5
"604","ELK3",0.5
"605","ENDOD1",0.5
"606","ETHE1",0.5
"607","EZH2",0.5
"608","FAM107B",0.5
"609","FAM127B",0.5
"610","FAM208A",0.5
"611","FDXR",0.5
"612","FYN",0.5
"613","GABARAPL1",0.5
"614","GGH",0.5
"615","GPCPD1",0.5
"616","GPR34",0.5
"617","H2AFJ",0.5
"618","HAVCR2",0.5
"619","HIC1",0.5
"620","HIST1H2AE",0.5
"621","HIST1H2BG",0.5
"622","HLA-A",0.5
"623","HMCES",0.5
"624","HNRNPUL1",0.5
"625","HPCAL1",0.5
"626","HSBP1L1",0.5
"627","IGF2R",0.5
"628","IGHD",0.5
"629","IL13RA1",0.5
"630","IL2RA",0.5
"631","ILF3-AS1",0.5
"632","ING5",0.5
"633","ISG20",0.5
"634","KCP",0.5
"635","KPNA5",0.5
"636","LAX1",0.5
"637","LINC00954",0.5
"638","LMO2",0.5
"639","LMO4",0.5
"640","LRRC45",0.5
"641","LTBP3",0.5
"642","LY9",0.5
"643","LYPD6B",0.5
"644","MAD1L1",0.5
"645","MARCH3",0.5
"646","MEIS2",0.5
"647","METTL7A",0.5
"648","MGAT4A",0.5
"649","MIR4435-2HG",0.5
"650","MT-ND6",0.5
"651","MTHFD2",0.5
"652","MTHFR",0.5
"653","MYL9",0.5
"654","NAALADL2",0.5
"655","NCF1",0.5
"656","NCL",0.5
"657","NFATC1",0.5
"658","NLRP7",0.5
"659","PARM1",0.5
"660","PCNT",0.5
"661","PDE4A",0.5
"662","PDE4B",0.5
"663","PDK2",0.5
"664","PIK3IP1",0.5
"665","PPIB",0.5
"666","PRPS1",0.5
"667","PTAFR",0.5
"668","PTGIR",0.5
"669","PTPN12",0.5
"670","PXK",0.5
"671","RASSF4",0.5
"672","RELB",0.5
"673","RGS19",0.5
"674","RGS20",0.5
"675","RHOBTB2",0.5
"676","RHOV",0.5
"677","RP11-16E12.2",0.5
"678","RP11-390E23.6",0.5
"679","RP11-542M13.3",0.5
"680","RP3-395M20.9",0.5
"681","RP3-428L16.2",0.5
"682","RSPH1",0.5
"683","SAV1",0.5
"684","SEMA4D",0.5
"685","SESN2",0.5
"686","SETBP1",0.5
"687","SH2B2",0.5
"688","SIAH2",0.5
"689","SIT1",0.5
"690","SLAMF6",0.5
"691","SLAMF7",0.5
"692","SLC12A8",0.5
"693","SLC1A5",0.5
"694","SLC2A3",0.5
"695","SLC43A3",0.5
"696","SNN",0.5
"697","SNTB2",0.5
"698","SNX11",0.5
"699","SOCS3",0.5
"700","SORBS2",0.5
"701","SP4",0.5
"702","STK38",0.5
"703","TBC1D30",0.5
"704","TBCD",0.5
"705","TCF4",0.5
"706","TCF7",0.5
"707","TCTN1",0.5
"708","TMEM173",0.5
"709","TMEM97",0.5
"710","TNFRSF17",0.5
"711","TNFRSF18",0.5
"712","TNFSF12",0.5
"713","TOB2",0.5
"714","TPM2",0.5
"715","TRIP10",0.5
"716","TROAP",0.5
"717","UNKL",0.5
"718","VAMP5",0.5
"719","VPS33B",0.5
"720","WWTR1",0.5
"721","ZBP1",0.5
"722","ZBTB38",0.5
"723","ZFAND6",0.5
"724","ZMYM2",0.5
"725","AC022182.3",0.4
"726","AC079767.4",0.4
"727","AC104024.1",0.4
"728","ACAT2",0.4
"729","ACTA2",0.4
"730","AL109761.5",0.4
"731","AL133493.2",0.4
"732","ARL4C",0.4
"733","ARL5A",0.4
"734","ARL5B",0.4
"735","ARL6IP1",0.4
"736","ATP13A1",0.4
"737","ATP1B1",0.4
"738","BANP",0.4
"739","BMP2K",0.4
"740","C10orf10",0.4
"741","C12orf77",0.4
"742","C1orf54",0.4
"743","C2orf88",0.4
"744","CASP10",0.4
"745","CCDC106",0.4
"746","CCL17",0.4
"747","CCL4L2",0.4
"748","CCNB2",0.4
"749","CD274",0.4
"750","CD3E",0.4
"751","CD81",0.4
"752","CDCA7",0.4
"753","CDH1",0.4
"754","CDK17",0.4
"755","CDK5R1",0.4
"756","CDKN2A",0.4
"757","CEACAM21",0.4
"758","CETP",0.4
"759","CHAC1",0.4
"760","CHPF",0.4
"761","CKB",0.4
"762","CLIC3",0.4
"763","CNR2",0.4
"764","COG2",0.4
"765","CR2",0.4
"766","CREB5",0.4
"767","CSF1",0.4
"768","CSNK1D",0.4
"769","CTB-31O20.2",0.4
"770","CTB-58E17.1",0.4
"771","CTD-3252C9.4",0.4
"772","DAPK2",0.4
"773","DDAH2",0.4
"774","DDB2",0.4
"775","DDX60",0.4
"776","DICER1-AS1",0.4
"777","DMKN",0.4
"778","DOK2",0.4
"779","ECE2",0.4
"780","EMX1",0.4
"781","ENTPD2",0.4
"782","EPM2AIP1",0.4
"783","FADS3",0.4
"784","FAM120B",0.4
"785","FMNL3",0.4
"786","FNIP2",0.4
"787","FSTL3",0.4
"788","GATSL3",0.4
"789","GBP4",0.4
"790","GIMAP1",0.4
"791","GINS2",0.4
"792","GLT1D1",0.4
"793","GNG11",0.4
"794","GZMH",0.4
"795","HAGH",0.4
"796","HAPLN3",0.4
"797","HBP1",0.4
"798","HES1",0.4
"799","HEY1",0.4
"800","HHAT",0.4
"801","HIST1H2BD",0.4
"802","HIST1H4H",0.4
"803","HLA-DRA",0.4
"804","HMGCS1",0.4
"805","HSDL2",0.4
"806","IL10RA",0.4
"807","IL18R1",0.4
"808","IL2RB",0.4
"809","ITGB1",0.4
"810","JAK1",0.4
"811","JOSD1",0.4
"812","KBTBD7",0.4
"813","KCNMA1",0.4
"814","KCNN4",0.4
"815","KIAA0368",0.4
"816","KIAA2013",0.4
"817","KLF10",0.4
"818","LAT",0.4
"819","LINC00152",0.4
"820","LINC00685",0.4
"821","LINC00936",0.4
"822","LINC01307",0.4
"823","LINC01588",0.4
"824","LRCH1",0.4
"825","LYAR",0.4
"826","LZTFL1",0.4
"827","MAP1LC3B",0.4
"828","MAP1S",0.4
"829","MARC2",0.4
"830","MEI1",0.4
"831","METTL12",0.4
"832","METTL8",0.4
"833","MIAT",0.4
"834","MIOS",0.4
"835","MIR181A1HG",0.4
"836","MSH6",0.4
"837","MT1X",0.4
"838","MYSM1",0.4
"839","NETO2",0.4
"840","NFYA",0.4
"841","NKIRAS1",0.4
"842","NPIPB15",0.4
"843","NSMCE3",0.4
"844","NTRK2",0.4
"845","P4HA1",0.4
"846","PATL2",0.4
"847","PCMTD2",0.4
"848","PDCD1LG2",0.4
"849","PEG10",0.4
"850","PHLDA3",0.4
"851","PHYH",0.4
"852","PIK3C2A",0.4
"853","PLG",0.4
"854","PLP2",0.4
"855","PMEPA1",0.4
"856","POLR2H",0.4
"857","PRKACB",0.4
"858","PRKCDBP",0.4
"859","PSAP",0.4
"860","RAB11FIP1",0.4
"861","RAB38",0.4
"862","RARRES2",0.4
"863","RGL2",0.4
"864","RNASET2",0.4
"865","RNF38",0.4
"866","RP1-34B20.21",0.4
"867","RP11-290F5.1",0.4
"868","RP11-467L13.7",0.4
"869","RP11-539L10.3",0.4
"870","RP11-588H23.3",0.4
"871","RP11-635N19.1",0.4
"872","RP11-796E2.4",0.4
"873","RPF1",0.4
"874","RSPH3",0.4
"875","RUNX1",0.4
"876","SAP130",0.4
"877","SBF1",0.4
"878","SCPEP1",0.4
"879","SDCCAG3",0.4
"880","SFXN5",0.4
"881","SGPP1",0.4
"882","SH3BP5",0.4
"883","SLC17A5",0.4
"884","SLC20A1",0.4
"885","SLC44A1",0.4
"886","SLC7A1",0.4
"887","SLC7A11",0.4
"888","SOX9",0.4
"889","SPON2",0.4
"890","SRRT",0.4
"891","SSPN",0.4
"892","SSTR2",0.4
"893","ST3GAL1",0.4
"894","STAT5A",0.4
"895","STXBP6",0.4
"896","SUN1",0.4
"897","SUSD3",0.4
"898","SYPL1",0.4
"899","TAF6L",0.4
"900","TARBP1",0.4
"901","TBL1X",0.4
"902","TFPT",0.4
"903","TIAM2",0.4
"904","TIGIT",0.4
"905","TIPARP",0.4
"906","TLCD1",0.4
"907","TM7SF2",0.4
"908","TMEM116",0.4
"909","TMEM156",0.4
"910","TMEM51",0.4
"911","TNFAIP8",0.4
"912","TNFRSF13B",0.4
"913","TNFRSF4",0.4
"914","TNFSF4",0.4
"915","TOX2",0.4
"916","TP53INP1",0.4
"917","TRIM52",0.4
"918","TRRAP",0.4
"919","TRUB2",0.4
"920","TSPYL1",0.4
"921","TTI2",0.4
"922","TYMS",0.4
"923","UPP1",0.4
"924","ZC3H12A",0.4
"925","ZFHX3",0.4
"926","ZNF439",0.4
"927","ZNF821",0.4
"928","ABAT",0.3
"929","ABHD4",0.3
"930","ABHD5",0.3
"931","AC007246.3",0.3
"932","AC093673.5",0.3
"933","ACAP3",0.3
"934","ACBD4",0.3
"935","ACKR1",0.3
"936","ACO1",0.3
"937","ACSL1",0.3
"938","ACTL10",0.3
"939","ADAMTS6",0.3
"940","AGBL3",0.3
"941","AHR",0.3
"942","AIDA",0.3
"943","AIF1",0.3
"944","AL592183.1",0.3
"945","ALAS1",0.3
"946","AP006621.5",0.3
"947","APH1B",0.3
"948","APP",0.3
"949","ARHGAP9",0.3
"950","ARID5A",0.3
"951","ARL6IP6",0.3
"952","ARRDC3",0.3
"953","ASCL1",0.3
"954","ATF4",0.3
"955","ATF6B",0.3
"956","ATHL1",0.3
"957","ATP8A1",0.3
"958","ATXN7",0.3
"959","AUTS2",0.3
"960","AZIN1-AS1",0.3
"961","B3GALT4",0.3
"962","B3GNT7",0.3
"963","BARD1",0.3
"964","BCAS1",0.3
"965","BCOR",0.3
"966","BDH2",0.3
"967","BLOC1S3",0.3
"968","BLVRA",0.3
"969","BMP4",0.3
"970","BTN3A1",0.3
"971","BTN3A2",0.3
"972","BYSL",0.3
"973","C10orf99",0.3
"974","C17orf58",0.3
"975","C7orf60",0.3
"976","CALM2",0.3
"977","CASP8AP2",0.3
"978","CBR4",0.3
"979","CCDC74B",0.3
"980","CCND3",0.3
"981","CCSER2",0.3
"982","CD59",0.3
"983","CDC42EP3",0.3
"984","CEND1",0.3
"985","CENPL",0.3
"986","CEP78",0.3
"987","CHDH",0.3
"988","CHST12",0.3
"989","CHST7",0.3
"990","CKLF",0.3
"991","CNN3",0.3
"992","CRACR2B",0.3
"993","CREB3L1",0.3
"994","CRELD1",0.3
"995","CRNDE",0.3
"996","CRYM",0.3
"997","CRYZ",0.3
"998","CSF2RB",0.3
"999","CTD-2020K17.1",0.3
"1000","CTNNB1",0.3
"1001","CTNND1",0.3
"1002","CXXC5",0.3
"1003","CYB561A3",0.3
"1004","CYS1",0.3
"1005","DCAF4",0.3
"1006","DCXR",0.3
"1007","DDR2",0.3
"1008","DDX21",0.3
"1009","DDX28",0.3
"1010","DDX6",0.3
"1011","DEF8",0.3
"1012","DHFRL1",0.3
"1013","DHRS9",0.3
"1014","DKC1",0.3
"1015","DNAJC3",0.3
"1016","DNAJC3-AS1",0.3
"1017","DNAJC5B",0.3
"1018","DOK1",0.3
"1019","DOK3",0.3
"1020","EDN1",0.3
"1021","EHMT1",0.3
"1022","ELMSAN1",0.3
"1023","ENOSF1",0.3
"1024","ETV2",0.3
"1025","EXOC6",0.3
"1026","F13A1",0.3
"1027","FAF1",0.3
"1028","FAM111B",0.3
"1029","FAM92B",0.3
"1030","FBXL5",0.3
"1031","FBXW8",0.3
"1032","FCER1G",0.3
"1033","FCRL4",0.3
"1034","FGD3",0.3
"1035","FJX1",0.3
"1036","FLNA",0.3
"1037","FRMD6-AS1",0.3
"1038","FSD1L",0.3
"1039","GATA3",0.3
"1040","GBE1",0.3
"1041","GFOD1",0.3
"1042","GNG3",0.3
"1043","GPM6B",0.3
"1044","GPR157",0.3
"1045","GPX7",0.3
"1046","GRHPR",0.3
"1047","GRN",0.3
"1048","GSN",0.3
"1049","GTF2A1",0.3
"1050","GYG1",0.3
"1051","HACD1",0.3
"1052","HCCS",0.3
"1053","HCG11",0.3
"1054","HEXIM1",0.3
"1055","HLA-DPA1",0.3
"1056","HM13",0.3
"1057","HNRNPLL",0.3
"1058","HNRNPU-AS1",0.3
"1059","HOPX",0.3
"1060","HOXB2",0.3
"1061","IARS",0.3
"1062","IDH1",0.3
"1063","IGFBP4",0.3
"1064","IGLV2-5",0.3
"1065","IL17RB",0.3
"1066","IL18BP",0.3
"1067","IL1R2",0.3
"1068","IL3RA",0.3
"1069","IL6ST",0.3
"1070","IMMP2L",0.3
"1071","IQCG",0.3
"1072","ITGAL",0.3
"1073","ITPR2",0.3
"1074","KCNK6",0.3
"1075","KCNMB1",0.3
"1076","KCNN3",0.3
"1077","KDM2B",0.3
"1078","KLHL6",0.3
"1079","KRT7",0.3
"1080","KTI12",0.3
"1081","L3MBTL2",0.3
"1082","LAG3",0.3
"1083","LARGE",0.3
"1084","LENG9",0.3
"1085","LIMS1",0.3
"1086","LINC00324",0.3
"1087","LINC00511",0.3
"1088","LINC00877",0.3
"1089","LINC01055",0.3
"1090","LINC01268",0.3
"1091","LINC01358",0.3
