Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of gene expression by Hypoxia-inducible Factor_Homo sapiens_R-HSA-1234158	1/10	0.017858741011932532	0.6664359450794335	0	0	55.55555555555556	223.62567767063973	CITED2
FGFR2b ligand binding and activation_Homo sapiens_R-HSA-190377	1/10	0.017858741011932532	0.6505684225775422	0	0	55.55555555555556	223.62567767063973	FGF7
Metabolism_Homo sapiens_R-HSA-1430728	8/1908	0.018090232762510688	0.6436757238753803	0	0	2.3293733985557887	9.346338487634982	MT2A;B4GALT1;LUM;CYP1B1;HAS2;MT1X;PTGDS;CTGF
Signaling by NOTCH_Homo sapiens_R-HSA-157118	2/122	0.02031024120690035	0.7062424783308532	0	0	9.107468123861567	35.48843376318237	B4GALT1;MYC
Keratan sulfate degradation_Homo sapiens_R-HSA-2022857	1/12	0.021393106288118857	0.727365613796041	0	0	46.2962962962963	177.99474745002374	LUM
TP53 Regulates Transcription of Death Receptors and Ligands_Homo sapiens_R-HSA-6803211	1/12	0.021393106288118857	0.7115533178439533	0	0	46.2962962962963	177.99474745002374	IGFBP3
Dissolution of Fibrin Clot_Homo sapiens_R-HSA-75205	1/13	0.02315564927877951	0.7537902850326097	0	0	42.73504273504274	160.91950849996908	SERPINE1
Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989	3/348	0.0244112971270204	0.7781100959237753	0	0	4.789272030651341	17.781174601647468	PLK2;IGFBP3;SGK1
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)_Homo sapiens_R-HSA-2162123	1/14	0.024915106126970902	0.7779614770258262	0	0	39.682539682539684	146.51908681335303	PTGDS
Negative regulation of TCF-dependent signaling by WNT ligand antagonists_Homo sapiens_R-HSA-3772470	1/15	0.02667148204996858	0.8161473507290385	0	0	37.03703703703704	134.22816194091052	SFRP2
N-Glycan antennae elongation_Homo sapiens_R-HSA-975577	1/15	0.02667148204996858	0.8001444614990574	0	0	37.03703703703704	134.22816194091052	B4GALT1
Signal Transduction_Homo sapiens_R-HSA-162582	9/2465	0.027437791725753714	0.8073042565462151	0	0	2.028397565922921	7.2937808434676645	FGF7;B4GALT1;SFRP2;BAMBI;MYC;SERPINE1;THBS1;SOX4;PGF
Hyaluronan metabolism_Homo sapiens_R-HSA-2142845	1/17	0.03017501197648502	0.8710899683777751	0	0	32.6797385620915	114.4033044149578	HAS2
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	1/17	0.03017501197648502	0.8549586726670755	0	0	32.6797385620915	114.4033044149578	FGF7
Pre-NOTCH Processing in Golgi_Homo sapiens_R-HSA-1912420	1/18	0.03192217639649051	0.8880169070296452	0	0	30.864197530864196	106.31031869992057	B4GALT1
Syndecan interactions_Homo sapiens_R-HSA-3000170	1/20	0.0354073301248565	0.967378840911258	0	0	27.77777777777778	92.8010115167676	THBS1
FGFR2 ligand binding and activation_Homo sapiens_R-HSA-190241	1/20	0.0354073301248565	0.9504072822987798	0	0	27.77777777777778	92.8010115167676	FGF7
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain_Homo sapiens_R-HSA-6804115	1/21	0.03714532981270047	0.9798681829902021	0	0	26.455026455026456	87.11421236395066	PLK2
Endogenous sterols_Homo sapiens_R-HSA-211976	1/24	0.04234108228264462	1.0	0	0	23.14814814814815	73.19438546055129	CYP1B1
Fertilization_Homo sapiens_R-HSA-1187000	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	B4GALT1
Reproduction_Homo sapiens_R-HSA-1474165	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	B4GALT1
Diseases associated with glycosaminoglycan metabolism_Homo sapiens_R-HSA-3560782	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	LUM
Regulation of Hypoxia-inducible Factor (HIF) by oxygen_Homo sapiens_R-HSA-1234174	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	CITED2
Cellular response to hypoxia_Homo sapiens_R-HSA-2262749	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	CITED2
SHC-mediated cascade:FGFR2_Homo sapiens_R-HSA-5654699	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	FGF7
N-glycan antennae elongation in the medial/trans-Golgi_Homo sapiens_R-HSA-975576	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	B4GALT1
Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788	1/26	0.04578976337343589	1.0	0	0	21.36752136752137	65.89091281995	BAMBI
YAP1- and WWTR1 (TAZ)-stimulated gene expression_Homo sapiens_R-HSA-2032785	1/29	0.050940157073959394	1.0	0	0	19.157088122605366	57.03263842770815	CTGF
Molecules associated with elastic fibres_Homo sapiens_R-HSA-2129379	1/30	0.05265094136520382	1.0	0	0	18.51851851851852	54.519836312611254	MFAP5
Activation of Matrix Metalloproteinases_Homo sapiens_R-HSA-1592389	1/32	0.05606352017913235	1.0	0	0	17.36111111111111	50.02204760683212	TIMP1
TGF-beta receptor signaling activates SMADs_Homo sapiens_R-HSA-2173789	1/32	0.05606352017913235	1.0	0	0	17.36111111111111	50.02204760683212	BAMBI
FGFR2 mutant receptor activation_Homo sapiens_R-HSA-1839126	1/33	0.05776532490445594	1.0	0	0	16.835016835016837	48.002804688092944	FGF7
Negative regulation of FGFR2 signaling_Homo sapiens_R-HSA-5654727	1/34	0.05946414661556277	1.0	0	0	16.33986928104575	46.11734846312542	FGF7
Regulation of TP53 Degradation_Homo sapiens_R-HSA-6804757	1/35	0.06115999039954628	1.0	0	0	15.873015873015873	44.3533659506991	SGK1
Regulation of TP53 Expression and Degradation_Homo sapiens_R-HSA-6806003	1/36	0.06285286131436205	1.0	0	0	15.432098765432098	42.69998177312403	SGK1
Transport of vitamins, nucleosides, and related molecules_Homo sapiens_R-HSA-425397	1/38	0.06622970478202725	1.0	0	0	14.619883040935672	39.68751760177159	APOD
Post-translational protein modification_Homo sapiens_R-HSA-597592	3/521	0.06662002511328204	1.0	0	0	3.1989763275751764	8.665227348859789	B4GALT1;ADAMTS1;THBS1
Gene Expression_Homo sapiens_R-HSA-74160	6/1631	0.0688872836233528	1.0	0	0	2.0437359493153484	5.467573433052061	MYC;PLK2;IGFBP3;SERPINE1;SGK1;CTGF
Elastic fibre formation_Homo sapiens_R-HSA-1566948	1/41	0.071272799727047	1.0	0	0	13.550135501355014	35.78916686791533	MFAP5
Non-integrin membrane-ECM interactions_Homo sapiens_R-HSA-3000171	1/42	0.07294793942574992	1.0	0	0	13.227513227513228	34.6297519947572	THBS1
Deactivation of the beta-catenin transactivating complex_Homo sapiens_R-HSA-3769402	1/42	0.07294793942574992	1.0	0	0	13.227513227513228	34.6297519947572	SOX4
BMAL1:CLOCK,NPAS2 activates circadian gene expression_Homo sapiens_R-HSA-1368108	1/42	0.07294793942574992	1.0	0	0	13.227513227513228	34.6297519947572	SERPINE1
Signaling by FGFR2 in disease_Homo sapiens_R-HSA-5655253	1/43	0.07462014149992705	1.0	0	0	12.919896640826874	33.531586756039324	FGF7
TP53 Regulates Transcription of Cell Death Genes_Homo sapiens_R-HSA-5633008	1/43	0.07462014149992705	1.0	0	0	12.919896640826874	33.531586756039324	IGFBP3
Hemostasis_Homo sapiens_R-HSA-109582	3/552	0.07635625932615528	1.0	0	0	3.0193236714975846	7.766742960965802	SERPINE1;TIMP1;THBS1
NOTCH1 Intracellular Domain Regulates Transcription_Homo sapiens_R-HSA-2122947	1/47	0.08127967357922959	1.0	0	0	11.82033096926714	29.667367744250623	MYC
TP53 Regulates Transcription of Cell Cycle Genes_Homo sapiens_R-HSA-6791312	1/48	0.08293726244296368	1.0	0	0	11.574074074074074	28.815634620180848	PLK2
Phospholipase C-mediated cascade; FGFR2_Homo sapiens_R-HSA-5654221	1/49	0.08459194359992496	1.0	0	0	11.337868480725623	28.003585558048368	FGF7
MAPK family signaling cascades_Homo sapiens_R-HSA-5683057	2/284	0.09239508766254761	1.0	0	0	3.912363067292645	9.318002603963174	FGF7;MYC
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	2/288	0.09460432727746557	1.0	0	0	3.8580246913580245	9.097423075153248	FGF7;MYC
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants_Homo sapiens_R-HSA-2894862	1/57	0.0977253074956695	1.0	0	0	9.746588693957115	22.666615212159627	MYC
Signaling by NOTCH1 in Cancer_Homo sapiens_R-HSA-2644603	1/57	0.0977253074956695	1.0	0	0	9.746588693957115	22.666615212159627	MYC
Signaling by NOTCH1 PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2644602	1/57	0.0977253074956695	1.0	0	0	9.746588693957115	22.666615212159627	MYC
Constitutive Signaling by NOTCH1 PEST Domain Mutants_Homo sapiens_R-HSA-2644606	1/57	0.0977253074956695	1.0	0	0	9.746588693957115	22.666615212159627	MYC
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2894858	1/57	0.0977253074956695	1.0	0	0	9.746588693957115	22.666615212159627	MYC
Pre-NOTCH Expression and Processing_Homo sapiens_R-HSA-1912422	1/57	0.0977253074956695	1.0	0	0	9.746588693957115	22.666615212159627	B4GALT1
Formation of the beta-catenin:TCF transactivating complex_Homo sapiens_R-HSA-201722	1/58	0.09935404107992307	1.0	0	0	9.578544061302683	22.11748693126027	MYC
Constitutive Signaling by Aberrant PI3K in Cancer_Homo sapiens_R-HSA-2219530	1/61	0.10422311003827317	1.0	0	0	9.107468123861567	20.594001720013843	FGF7
Cytochrome P450 - arranged by substrate type_Homo sapiens_R-HSA-211897	1/62	0.10584043864033445	1.0	0	0	8.960573476702509	20.123858555663137	CYP1B1
Signaling by FGFR in disease_Homo sapiens_R-HSA-1226099	1/63	0.10745492813475709	1.0	0	0	8.818342151675484	19.67093291445361	FGF7
Circadian Clock_Homo sapiens_R-HSA-400253	1/63	0.10745492813475709	1.0	0	0	8.818342151675484	19.67093291445361	SERPINE1
Metabolism of lipids and lipoproteins_Homo sapiens_R-HSA-556833	3/659	0.11439090774219489	1.0	0	0	2.5290844714213456	5.483393224514371	CYP1B1;PTGDS;CTGF
Cyclin E associated events during G1/S transition_Homo sapiens_R-HSA-69202	1/68	0.11548495817986322	1.0	0	0	8.169934640522875	17.63574337998542	MYC
Cyclin A:Cdk2-associated events at S phase entry_Homo sapiens_R-HSA-69656	1/69	0.11708251441891135	1.0	0	0	8.051529790660226	17.269535759368996	MYC
Signaling by VEGF_Homo sapiens_R-HSA-194138	2/328	0.11749935881826322	1.0	0	0	3.3875338753387534	7.2538021757407085	FGF7;PGF
Signaling by NOTCH1_Homo sapiens_R-HSA-1980143	1/72	0.12185836996376319	1.0	0	0	7.716049382716049	16.241480019705776	MYC
Senescence-Associated Secretory Phenotype (SASP)_Homo sapiens_R-HSA-2559582	1/77	0.1297623714775434	1.0	0	0	7.2150072150072155	14.733408462532537	IGFBP7
PI3K Cascade_Homo sapiens_R-HSA-109704	1/79	0.13290456764390765	1.0	0	0	7.032348804500703	14.19215151072355	FGF7
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling_Homo sapiens_R-HSA-6811558	1/83	0.13915590296892433	1.0	0	0	6.693440428380188	13.200537953724272	FGF7
Signaling by PDGF_Homo sapiens_R-HSA-186797	2/364	0.1391821432349757	1.0	0	0	3.0525030525030528	6.019450002040623	FGF7;THBS1
Cellular responses to stress_Homo sapiens_R-HSA-2262752	2/367	0.14102832371971752	1.0	0	0	3.0275507114744173	5.930349776967412	CITED2;IGFBP7
PI3K/AKT Signaling in Cancer_Homo sapiens_R-HSA-2219528	1/86	0.14381562741602863	1.0	0	0	6.459948320413437	12.527281427263603	FGF7
Negative regulation of the PI3K/AKT network_Homo sapiens_R-HSA-199418	1/90	0.1499904635419038	1.0	0	0	6.17283950617284	11.711009649964529	FGF7
MAPK6/MAPK4 signaling_Homo sapiens_R-HSA-5687128	1/92	0.15306162382762928	1.0	0	0	6.038647342995169	11.334025776356205	MYC
Phase 1 - Functionalization of compounds_Homo sapiens_R-HSA-211945	1/92	0.15306162382762928	1.0	0	0	6.038647342995169	11.334025776356205	CYP1B1
Interferon gamma signaling_Homo sapiens_R-HSA-877300	1/93	0.15459315573462507	1.0	0	0	5.973715651135007	11.152678701354978	MT2A
Stimuli-sensing channels_Homo sapiens_R-HSA-2672351	1/100	0.16523874056701404	1.0	0	0	5.555555555555556	10.002021879574963	SGK1
G1/S Transition_Homo sapiens_R-HSA-69206	1/112	0.1831858560080366	1.0	0	0	4.9603174603174605	8.418918824002423	MYC
PPARA activates gene expression_Homo sapiens_R-HSA-1989781	1/113	0.1846643992267715	1.0	0	0	4.916420845624385	8.304892623076372	CTGF
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	1/116	0.18908443371064654	1.0	0	0	4.789272030651341	7.976827703405058	CTGF
PI-3K cascade:FGFR1_Homo sapiens_R-HSA-5654689	1/122	0.19785472366465193	1.0	0	0	4.553734061930784	7.37806118604927	FGF7
PI-3K cascade:FGFR3_Homo sapiens_R-HSA-5654710	1/122	0.19785472366465193	1.0	0	0	4.553734061930784	7.37806118604927	FGF7
PI3K events in ERBB4 signaling_Homo sapiens_R-HSA-1250342	1/122	0.19785472366465193	1.0	0	0	4.553734061930784	7.37806118604927	FGF7
PIP3 activates AKT signaling_Homo sapiens_R-HSA-1257604	1/122	0.19785472366465193	1.0	0	0	4.553734061930784	7.37806118604927	FGF7
PI-3K cascade:FGFR4_Homo sapiens_R-HSA-5654720	1/122	0.19785472366465193	1.0	0	0	4.553734061930784	7.37806118604927	FGF7
PI-3K cascade:FGFR2_Homo sapiens_R-HSA-5654695	1/122	0.19785472366465193	1.0	0	0	4.553734061930784	7.37806118604927	FGF7
S Phase_Homo sapiens_R-HSA-69242	1/124	0.20075760775244536	1.0	0	0	4.480286738351254	7.193803898850967	MYC
GAB1 signalosome_Homo sapiens_R-HSA-180292	1/125	0.2022052171834861	1.0	0	0	4.444444444444445	7.10432075837441	FGF7
PI3K/AKT activation_Homo sapiens_R-HSA-198203	1/125	0.2022052171834861	1.0	0	0	4.444444444444445	7.10432075837441	FGF7
Mitotic G1-G1/S phases_Homo sapiens_R-HSA-453279	1/136	0.2179616266021728	1.0	0	0	4.084967320261438	6.223187322091094	MYC
Regulation of TP53 Activity_Homo sapiens_R-HSA-5633007	1/151	0.23896090725311353	1.0	0	0	3.679175864606328	5.26657582195707	SGK1
Cellular Senescence_Homo sapiens_R-HSA-2559583	1/161	0.2526547717000651	1.0	0	0	3.4506556245686677	4.747174813044488	IGFBP7
Role of LAT2/NTAL/LAB on calcium mobilization_Homo sapiens_R-HSA-2730905	1/162	0.25401090801691445	1.0	0	0	3.429355281207133	4.699513264530954	FGF7
Transport to the Golgi and subsequent modification_Homo sapiens_R-HSA-948021	1/162	0.25401090801691445	1.0	0	0	3.429355281207133	4.699513264530954	B4GALT1
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	2/594	0.2900509818543024	1.0	0	0	1.8705574261129816	2.3151862550597526	APOD;SGK1
Downstream signaling events of B Cell Receptor (BCR)_Homo sapiens_R-HSA-1168372	1/192	0.29360065148891207	1.0	0	0	2.8935185185185186	3.546107532628919	FGF7
Interferon Signaling_Homo sapiens_R-HSA-913531	1/196	0.29872242241800534	1.0	0	0	2.834467120181406	3.424717941879613	MT2A
Biological oxidations_Homo sapiens_R-HSA-211859	1/199	0.3025400389917896	1.0	0	0	2.7917364600781687	3.337637213753926	CYP1B1
Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215	2/620	0.3074982292385908	1.0	0	0	1.7921146953405018	2.113415681587515	FGF7;MT2A
Ion channel transport_Homo sapiens_R-HSA-983712	1/203	0.30759877748396813	1.0	0	0	2.736726874657909	3.2264888224629455	SGK1
Fatty acid, triacylglycerol, and ketone body metabolism_Homo sapiens_R-HSA-535734	1/217	0.32502498660401696	1.0	0	0	2.5601638504864312	2.8772483813342156	CTGF
Signaling by the B Cell Receptor (BCR)_Homo sapiens_R-HSA-983705	1/233	0.34441876436846547	1.0	0	0	2.384358607534573	2.5414807431659017	FGF7
GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812	1/235	0.34680455785347425	1.0	0	0	2.364066193853428	2.5035316585406786	FGF7
SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336	1/235	0.34680455785347425	1.0	0	0	2.364066193853428	2.5035316585406786	FGF7
SOS-mediated signalling_Homo sapiens_R-HSA-112412	1/235	0.34680455785347425	1.0	0	0	2.364066193853428	2.5035316585406786	FGF7
SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347	1/235	0.34680455785347425	1.0	0	0	2.364066193853428	2.5035316585406786	FGF7
RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001	1/235	0.34680455785347425	1.0	0	0	2.364066193853428	2.5035316585406786	FGF7
FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700	1/236	0.34799428702434465	1.0	0	0	2.354048964218456	2.4848616194423903	FGF7
FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712	1/236	0.34799428702434465	1.0	0	0	2.354048964218456	2.4848616194423903	FGF7
FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706	1/236	0.34799428702434465	1.0	0	0	2.354048964218456	2.4848616194423903	FGF7
FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693	1/236	0.34799428702434465	1.0	0	0	2.354048964218456	2.4848616194423903	FGF7
ARMS-mediated activation_Homo sapiens_R-HSA-170984	1/239	0.35155084765270933	1.0	0	0	2.3245002324500232	2.430034679574855	FGF7
Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706	1/239	0.35155084765270933	1.0	0	0	2.3245002324500232	2.430034679574855	FGF7
Frs2-mediated activation_Homo sapiens_R-HSA-170968	1/240	0.3527321710081166	1.0	0	0	2.314814814814815	2.412144056437336	FGF7
MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996	1/241	0.35391140191949666	1.0	0	0	2.3052097740894424	2.394441388281379	FGF7
Prolonged ERK activation events_Homo sapiens_R-HSA-169893	1/242	0.3550885439848984	1.0	0	0	2.2956841138659323	2.376924014992808	FGF7
Signaling by Leptin_Homo sapiens_R-HSA-2586552	1/243	0.3562636008259718	1.0	0	0	2.286236854138089	2.359589324121891	FGF7
Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526	1/245	0.35860747318710723	1.0	0	0	2.267573696145125	2.325457773539983	FGF7
Signalling to RAS_Homo sapiens_R-HSA-167044	1/246	0.3597762958965895	1.0	0	0	2.2583559168925027	2.308655919079519	FGF7
VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921	1/248	0.3621077320706147	1.0	0	0	2.240143369175627	2.2755678965639894	FGF7
Interleukin-2 signaling_Homo sapiens_R-HSA-451927	1/252	0.3667458672961938	1.0	0	0	2.204585537918871	2.211389176525363	FGF7
Signalling to ERKs_Homo sapiens_R-HSA-187687	1/253	0.36790026822848154	1.0	0	0	2.1958717610891525	2.195747447939858	FGF7
Asparagine N-linked glycosylation_Homo sapiens_R-HSA-446203	1/259	0.37478382910630725	1.0	0	0	2.1450021450021453	2.1051177068698346	B4GALT1
Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988	1/261	0.3770621117906567	1.0	0	0	2.1285653469561514	2.076086318314196	FGF7
NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165	1/266	0.3827225631092849	1.0	0	0	2.0885547201336676	2.0059417932225627	FGF7
SLC-mediated transmembrane transport_Homo sapiens_R-HSA-425407	1/268	0.38497271419958273	1.0	0	0	2.0729684908789388	1.9788201065812243	APOD
IRS-mediated signalling_Homo sapiens_R-HSA-112399	1/284	0.40268910344302355	1.0	0	0	1.9561815336463224	1.7793240810577646	FGF7
Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751	1/287	0.40595523247658055	1.0	0	0	1.9357336430507164	1.7450878635230873	FGF7
IGF1R signaling cascade_Homo sapiens_R-HSA-2428924	1/288	0.40704007864010533	1.0	0	0	1.9290123456790123	1.7338804495958886	FGF7
