MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IMP	MGI:2155986 	J:84007 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		regulation of T cell mediated cytotoxicity			ISO	Q15109 	J:164563 	
MGI:87968	Ahcy	S-adenosylhomocysteine hydrolase	2		chronic inflammatory response to antigenic stimulus			ISO	RGD:69260 	J:155856 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		isotype switching			IMP		J:172192 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		isotype switching	happens in mature B cell		IMP		J:126758 	
MGI:2686159	Aim2	absent in melanoma 2	1		activation of innate immune response			IBA	PTN001385767 	J:265628 	
MGI:2686159	Aim2	absent in melanoma 2	1		activation of innate immune response			IDA		J:147175 	
MGI:2686159	Aim2	absent in melanoma 2	1		activation of innate immune response			ISO	O14862 	J:164563 	
MGI:2686159	Aim2	absent in melanoma 2	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		humoral immune response			IBA	PTN002931439 	J:265628 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		humoral immune response			IMP	MGI:2182940 	J:77873 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		peripheral T cell tolerance induction			IBA	PTN002931439 	J:265628 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		peripheral T cell tolerance induction			IDA		J:208220 	
MGI:1926051	Ak7	adenylate kinase 7	12		inflammatory response to antigenic stimulus	has the participant respiratory system		IMP	MGI:5431002 	J:186062 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1889364	Akirin2	akirin 2	4		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1313266	Alcam	activated leukocyte cell adhesion molecule	16		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		negative regulation of adaptive immune response			IMP		J:187327 	
MGI:1918731	Alpk1	alpha-kinase 1	3		cytoplasmic pattern recognition receptor signaling pathway			IMP		J:264436 	
MGI:1918731	Alpk1	alpha-kinase 1	3		cytoplasmic pattern recognition receptor signaling pathway			ISO	Q96QP1 	J:164563 	
MGI:1918731	Alpk1	alpha-kinase 1	3		innate immune response			IMP		J:264436 	
MGI:1918731	Alpk1	alpha-kinase 1	3		innate immune response			ISO	Q96QP1 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		antibacterial humoral response			IDA		J:82368 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		antibacterial humoral response			ISO	P03950 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		antifungal humoral response			IDA		J:82368 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		antifungal humoral response			ISO	P03950 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		antimicrobial humoral immune response mediated by antimicrobial peptide			IDA		J:82368 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		antimicrobial humoral immune response mediated by antimicrobial peptide			ISO	P03950 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		innate immune response			IDA		J:82368 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		innate immune response			ISO	P03950 	J:164563 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		antibacterial humoral response			IDA		J:82368 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		antimicrobial humoral immune response mediated by antimicrobial peptide			IDA		J:82368 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		innate immune response			IDA		J:82368 	
MGI:108448	Angpt1	angiopoietin 1	15		negative regulation of cytokine secretion involved in immune response			IDA		J:157867 	
MGI:1921733	Ankhd1	ankyrin repeat and KH domain containing 1	18		innate immune response			IBA	PTN001506277 	J:265628 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		innate immune response			IBA	PTN001506277 	J:265628 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		innate immune response			ISO	O75179 	J:164563 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		positive regulation of MDA-5 signaling pathway			ISO	O75179 	J:164563 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		positive regulation of RIG-I signaling pathway			ISO	O75179 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:96819	Anxa1	annexin A1	19		innate immune response			IEA	KW-0399 	J:60000 	
MGI:96819	Anxa1	annexin A1	19		negative regulation of T-helper 2 cell differentiation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		negative regulation of T-helper 2 cell differentiation			ISO	P04083 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T-helper 1 cell differentiation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T-helper 1 cell differentiation			ISO	P04083 	J:164563 	
MGI:1201378	Anxa3	annexin A3	5		neutrophil degranulation			ISO	P12429 	J:164563 	
MGI:101919	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit	8		positive regulation of natural killer cell degranulation			ISO	O43747 	J:164563 	
MGI:101919	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit	8		positive regulation of natural killer cell mediated cytotoxicity			ISO	O43747 	J:164563 	
MGI:1861354	Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	2		T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell			IDA		J:122332 	
MGI:98229	Apcs	serum amyloid P-component	1		complement activation, classical pathway			IBA	PTN000444388 	J:265628 	
MGI:98229	Apcs	serum amyloid P-component	1		innate immune response			IBA	PTN000444388 	J:265628 	
MGI:98229	Apcs	serum amyloid P-component	1		innate immune response			ISO	P02743 	J:164563 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		regulation of isotype switching	regulates a function/process that happens in spleen,regulates a function/process that happens in B cell		IMP	MGI:4128102 	J:168260 	
MGI:88049	Apoa1	apolipoprotein A-I	9		negative regulation of cytokine secretion involved in immune response			ISO	P02647 	J:164563 	
MGI:88050	Apoa2	apolipoprotein A-II	1		negative regulation of cytokine secretion involved in immune response			ISO	P02652 	J:164563 	
MGI:88051	Apoa4	apolipoprotein A-IV	9		innate immune response in mucosa			IMP		J:91357 	
MGI:88051	Apoa4	apolipoprotein A-IV	9		innate immune response in mucosa			ISO	P06727 	J:164563 	
MGI:1933111	Apobec3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3	15		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88057	Apoe	apolipoprotein E	7		regulation of innate immune response			IMP		J:266110 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		antibacterial humoral response			ISO	RGD:2139 	J:155856 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		antibacterial humoral response			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		antifungal humoral response			ISO	RGD:2139 	J:155856 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		antifungal humoral response			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		antimicrobial humoral immune response mediated by antimicrobial peptide			ISO	RGD:2139 	J:155856 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		antimicrobial humoral immune response mediated by antimicrobial peptide			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		astrocyte activation involved in immune response			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		innate immune response			ISO	RGD:2139 	J:155856 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		innate immune response			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		regulation of toll-like receptor signaling pathway			ISO	P05067 	J:164563 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis			IMP		J:268015 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		regulation of innate immune response			IMP		J:268007 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		regulation of toll-like receptor 4 signaling pathway			IMP		J:268007 	
MGI:2384914	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	10		positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis			IMP		J:268015 	
MGI:2384914	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	10		regulation of innate immune response			IMP		J:268007 	
MGI:2384914	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	10		regulation of toll-like receptor 4 signaling pathway			IMP		J:268007 	
MGI:107387	Aqp4	aquaporin 4	18		cellular response to interferon-gamma			ISO	P55087 	J:164563 	
MGI:99435	Arf6	ADP-ribosylation factor 6	12		regulation of toll-like receptor 4 signaling pathway			NAS		J:171185 	
MGI:88070	Arg1	arginase, liver	10		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88070	Arg1	arginase, liver	10		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of interferon-gamma-mediated signaling pathway			ISO	P05089 	J:164563 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of T-helper 2 cell cytokine production			IMP		J:243399 	
MGI:1330806	Arg2	arginase type II	12		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1330806	Arg2	arginase type II	12		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1330806	Arg2	arginase type II	12		negative regulation of type 2 immune response			IMP		J:237069 	
MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	3		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		positive regulation of T-helper 1 cell cytokine production			IMP		J:240577 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		positive regulation of T-helper 17 type immune response			IMP		J:233072 	
MGI:99474	Arrb2	arrestin, beta 2	11		negative regulation of natural killer cell mediated cytotoxicity			ISO	P32121 	J:164563 	
MGI:99474	Arrb2	arrestin, beta 2	11		negative regulation of toll-like receptor signaling pathway			IMP		J:112607 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		isotype switching	happens in B cell		IMP	MGI:4127920 	J:230702 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		positive regulation of isotype switching to IgG isotypes			IMP	MGI:4127920 	J:230702 	
MGI:1277186	Atg5	autophagy related 5	10		regulation of cytokine secretion involved in immune response			IMP		J:186989 	
MGI:2138446	Atg9a	autophagy related 9A	1		innate immune response	happens in fibroblast		IMP	MGI:4417824 	J:155552 	
MGI:99400	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	X		T-helper cell differentiation	results in the differentiation of CD4-positive helper T cell		IMP	MGI:1856466 	J:13154 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		innate immune response			IEA	KW-0399 	J:60000 	
MGI:3630303	AY761185	cDNA sequence AY761185	8		antibacterial humoral response			IBA	PTN002275316 	J:265628 	
MGI:3630303	AY761185	cDNA sequence AY761185	8		antimicrobial humoral immune response mediated by antimicrobial peptide			IBA	PTN002275316 	J:265628 	
MGI:3630303	AY761185	cDNA sequence AY761185	8		innate immune response in mucosa			IBA	PTN002275316 	J:265628 	
MGI:103163	Azgp1	alpha-2-glycoprotein 1, zinc	5		immune response			IBA	PTN002314307 	J:265628 	
MGI:103163	Azgp1	alpha-2-glycoprotein 1, zinc	5		positive regulation of T cell mediated cytotoxicity			IBA	PTN002497567 	J:265628 	
MGI:88127	B2m	beta-2 microglobulin	2		antibacterial humoral response			ISO	P61769 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		antimicrobial humoral immune response mediated by antimicrobial peptide			ISO	P61769 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		immune response			IEA	IPR015707 	J:72247 	
MGI:88127	B2m	beta-2 microglobulin	2		innate immune response			ISO	P61769 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		positive regulation of T cell cytokine production			ISO	P61769 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		positive regulation of T cell mediated cytotoxicity	regulates a function/process that happens in T cell		IMP		J:104295 	
MGI:2443478	B430306N03Rik	RIKEN cDNA B430306N03 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		primary adaptive immune response involving T cells and B cells			ISO	Q9BYV9 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		immune response-activating cell surface receptor signaling pathway			ISO	P46379 	J:164563 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		isotype switching			IMP		J:160935 J:172119 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell differentiation			IMP		J:160935 J:172119 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell lineage commitment			IMP		J:150643 J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 2 cell differentiation			IMP		J:160935 J:172119 	
MGI:99702	Bax	BCL2-associated X protein	7		B cell receptor apoptotic signaling pathway			ISO	Q07812 	J:164563 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		immune response			IPI	P01873 	J:58767 	
MGI:108091	Bcar1	breast cancer anti-estrogen resistance 1	8		antigen receptor-mediated signaling pathway			ISO	P56945 	J:164563 	
MGI:108091	Bcar1	breast cancer anti-estrogen resistance 1	8		B cell receptor signaling pathway			ISO	P56945 	J:164563 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		B cell receptor signaling pathway			ISO	P10415 	J:164563 	
MGI:1278325	Bcl2a1d	B cell leukemia/lymphoma 2 related protein A1d	9		T cell receptor signaling pathway			IDA		J:96628 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		antimicrobial humoral response			IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		germinal center formation	has the participant spleen		IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		germinal center formation			IMP	MGI:2158443 	J:39747 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		germinal center formation	has the participant spleen germinal center		IMP	MGI:2158443 	J:112111 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		humoral immune response mediated by circulating immunoglobulin			IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		marginal zone B cell differentiation			IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		T-helper 1 type immune response			IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		T-helper 2 cell differentiation	results in the differentiation of T-helper 2 cell		IMP	MGI:2158443 	J:107516 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		germinal center formation			IMP	MGI:2158436 	J:42667 J:111535 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		germinal center formation	has the participant spleen germinal center|has the participant lymph node secondary follicle|has the participant Peyer's patch germinal center		IMP	MGI:2158438 	J:40769 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		germinal center formation	has the participant spleen germinal center		IMP	MGI:2158439 	J:39815 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in B cell		IGI	MGI:103034 	J:57856 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in B cell		IMP	MGI:2158438 	J:57856 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of mast cell cytokine production	regulates a function/process that happens in bone marrow,regulates a function/process caused by the action of mast cell,regulates a function/process that has the participant Il13		IMP	MGI:2158436 	J:99053 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of T-helper 2 cell differentiation	regulates the differentiation of T-helper 2 cell		IGI	MGI:96559 	J:81987 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of type 2 immune response			IGI	MGI:103034 	J:56751 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		regulation of memory T cell differentiation	regulates the differentiation of memory T cell		IMP	MGI:2158436 	J:91924 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		type 2 immune response			IBA	PTN000578061 	J:265628 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		type 2 immune response			IMP	MGI:2158438 	J:40769 	
MGI:1278332	Bcl6b	B cell CLL/lymphoma 6, member B	11		type 2 immune response			IBA	PTN000578061 	J:265628 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		adaptive immune response			IBA	PTN002858499 	J:265628 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		adaptive immune response			ISO	O95999 	J:164563 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		immunoglobulin mediated immune response			IMP	MGI:2158304 	J:67297 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		regulation of T cell receptor signaling pathway			IMP	MGI:2158304 	J:109545 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		T cell receptor signaling pathway			ISO	O95999 	J:164563 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		toll-like receptor signaling pathway			ISO	O95999 	J:164563 	
MGI:88141	Bcr	BCR activator of RhoGEF and GTPase	10		negative regulation of neutrophil degranulation	regulates a function/process that happens in neutrophil		IGI	MGI:107771 	J:153997 	
MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12		acute inflammatory response to antigenic stimulus			ISO	RGD:2201 	J:155856 	
MGI:88169	Blk	B lymphoid kinase	14		B cell receptor signaling pathway			ISO	P51451 	J:164563 	
MGI:88174	Bmi1	Bmi1 polycomb ring finger oncogene	2		humoral immune response			IMP	MGI:1857632 	J:17712 	
MGI:88182	Bmp6	bone morphogenetic protein 6	13		immune response			ISO	P22004 	J:164563 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		immune response			ISO	P36894 	J:164563 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		antibacterial humoral response			ISO	P17213 	J:164563 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		antimicrobial humoral immune response mediated by antimicrobial peptide			ISO	P17213 	J:164563 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		immune response			ISO	RGD:1303179 	J:155856 	
MGI:3045315	Bpi	bactericidal permeablility increasing protein	2		innate immune response			IBA	PTN002471180 	J:265628 	
MGI:1338036	Bpifa1	BPI fold containing family A, member 1	2		antibacterial humoral response			IMP		J:195535 	
MGI:1338036	Bpifa1	BPI fold containing family A, member 1	2		antibacterial humoral response			ISO	Q9NP55 	J:164563 	
MGI:1338036	Bpifa1	BPI fold containing family A, member 1	2		innate immune response			IMP		J:195535 	
MGI:1338036	Bpifa1	BPI fold containing family A, member 1	2		innate immune response			ISO	Q9NP55 	J:164563 	
MGI:2137431	Bpifb1	BPI fold containing family B, member 1	2		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2137431	Bpifb1	BPI fold containing family B, member 1	2		innate immune response in mucosa			ISO	Q8TDL5 	J:164563 	
MGI:2137431	Bpifb1	BPI fold containing family B, member 1	2		negative regulation of toll-like receptor 4 signaling pathway			ISO	Q8TDL5 	J:164563 	
MGI:2675077	Bpifb3	BPI fold containing family B, member 3	2		innate immune response			IEA	IPR032951 	J:72247 	
MGI:88190	Braf	Braf transforming gene	6		T cell receptor signaling pathway			IDA		J:131579 	
MGI:1916800	Bst2	bone marrow stromal cell antigen 2	8		innate immune response			IBA	PTN000390342 	J:265628 	
MGI:1916800	Bst2	bone marrow stromal cell antigen 2	8		innate immune response			IMP		J:190272 	
MGI:1916800	Bst2	bone marrow stromal cell antigen 2	8		response to interferon-gamma			IDA		J:190272 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		B cell affinity maturation			IMP	MGI:1856317 	J:17954 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		histamine secretion by mast cell			ISO	RGD:1359683 	J:155856 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		positive regulation of type I hypersensitivity			ISO	RGD:1359683 	J:155856 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		positive regulation of type III hypersensitivity			ISO	RGD:1359683 	J:155856 	
MGI:2658978	Btla	B and T lymphocyte associated	16		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:2658978	Btla	B and T lymphocyte associated	16		immune response-regulating cell surface receptor signaling pathway			IMP	MGI:3027713 	J:94873 	
